Años,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
1968,,,,,,,,,,,,,
1967,,0.0,0.0,0.0,12.4,35.9,45.3,19.4,1.4,17.0,0.0,,48.3
1966,,,,,,,,,,,,,
1965,,,,,,,,,,,,,
1964,,,,,,,,,,,,,
1963,,,,,,,,,,,,,
1962,,,,,,,,,,,,,
1961,,,,,,,,,,,,,
1960,,,,,,,,,,,,,
1959,,,,,,,,,,,,,
1958,,,,,,,,,,,,,
1957,,,,,,,,,,,,,
1956,,,,,,,,,,,,,
1955,,,,,,,,,,,,,
1954,,,,,,,,,,,,,
1953,,,,,,,,,,,,,
1952,,,,,,,,,,,,,
1951,,,,,,,,,,,,,
1950,,,,,,,,,,,,,
1949,,,,,,,,,,,,,
1948,,,,,,,,,,,,,
1947,,,,,,,,,,,,,
1946,,,,,,,,,,,,,
1945,,,,,,,,,,,,,
1944,,,,,,,,,,,,,
1943,,,,,,,,,,,,,
1942,,,,,,,,,,,,,
1941,,,,,,,,,,,,,
1940,,,,,,,,,,,,,
1939,,,,,,,,,,,,,
1938,,,,,,,,,,,,,
1937,,,,,,,,,,,,,
1936,,,,,,,,,,,,,
1935,,,,,,,,,,,,,
1934,,,,,,,,,,,,,
1933,,,,,,,,,,,,,
1932,,,,,,,,,,,,,
1931,,,,,,,,,,,,,
1930,,,,,,,,,,,,,
1929,,,,,,,,,,,,,
1928,,,,,,,,,,,,,
1927,,,,,,,,,,,,,
1926,,,,,,,,,,,,,
1925,,,,,,,,,,,,,
1924,,,,,,,,,,,,,
1923,,,,,,,,,,,,,
1922,,,,,,,,,,,,,
1921,,,,,,,,,,,,,
1920,,,,,,,,,,,,,
1919,,,,,,,,,,,,,
1918,,,,,,,,,,,,,
1917,,,,,,,,,,,,,
1916,5.9,0.0,15.9,7.3,22.4,6.1,86.1,33.0,23.8,0.8,22.8,0.9,225.0
1915,0.1,3.5,1.3,21.3,110.4,77.3,,9.3,2.1,2.1,0.3,0.0,227.7
1914,0.0,0.0,0.0,6.4,21.7,245.1,125.0,72.7,103.5,58.5,70.6,0.0,703.5
